relative_path,filename,task,split,index,tumor_code,tumor_label,plane_code,plane_label,sequence,is_mask,linked_image,width,height,file_size_bytes,sha256,aspect_ratio,is_square
classification_task\test\meningioma\brisc2025_test_00344_me_ax_t1.jpg,brisc2025_test_00344_me_ax_t1.jpg,classification,test,344,me,meningioma,ax,axial,T1,False,,512,512,17877,960155b05ea8f0ddcbcd3a5e29905c2a4b55832f03e5b7d6491c73955960d278,1.0,True
classification_task\test\meningioma\brisc2025_test_00352_me_ax_t1.jpg,brisc2025_test_00352_me_ax_t1.jpg,classification,test,352,me,meningioma,ax,axial,T1,False,,201,251,9501,f3d00bbb942117c2fb62466414d3c466ca283b678200fe87424e4128b80b2dba,0.8007968127490039,False
classification_task\test\pituitary\brisc2025_test_00737_pi_ax_t1.jpg,brisc2025_test_00737_pi_ax_t1.jpg,classification,test,737,pi,pituitary,ax,axial,T1,False,,512,512,26863,39f4f7b252d7809d8d3d2e4521607de2195bf0f66c0592587b1cebd632aac640,1.0,True
classification_task\test\pituitary\brisc2025_test_00751_pi_ax_t1.jpg,brisc2025_test_00751_pi_ax_t1.jpg,classification,test,751,pi,pituitary,ax,axial,T1,False,,512,512,32517,08690b76457b2b44d58682cece62ec951ef6d30d935ce07df852e97d44434680,1.0,True
classification_task\test\pituitary\brisc2025_test_00825_pi_co_t1.jpg,brisc2025_test_00825_pi_co_t1.jpg,classification,test,825,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\test\pituitary\brisc2025_test_00827_pi_co_t1.jpg,brisc2025_test_00827_pi_co_t1.jpg,classification,test,827,pi,pituitary,co,coronal,T1,False,,512,512,34743,02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,1.0,True
classification_task\test\pituitary\brisc2025_test_00834_pi_co_t1.jpg,brisc2025_test_00834_pi_co_t1.jpg,classification,test,834,pi,pituitary,co,coronal,T1,False,,512,512,36127,b5e17076d1427e41a618f92bc72100c1be4df26608223512aac51c911ac1eb88,1.0,True
classification_task\train\meningioma\brisc2025_train_01210_me_ax_t1.jpg,brisc2025_train_01210_me_ax_t1.jpg,classification,train,1210,me,meningioma,ax,axial,T1,False,,512,512,17877,960155b05ea8f0ddcbcd3a5e29905c2a4b55832f03e5b7d6491c73955960d278,1.0,True
classification_task\train\meningioma\brisc2025_train_01304_me_ax_t1.jpg,brisc2025_train_01304_me_ax_t1.jpg,classification,train,1304,me,meningioma,ax,axial,T1,False,,201,251,9501,f3d00bbb942117c2fb62466414d3c466ca283b678200fe87424e4128b80b2dba,0.8007968127490039,False
classification_task\train\pituitary\brisc2025_train_03705_pi_ax_t1.jpg,brisc2025_train_03705_pi_ax_t1.jpg,classification,train,3705,pi,pituitary,ax,axial,T1,False,,512,512,26863,39f4f7b252d7809d8d3d2e4521607de2195bf0f66c0592587b1cebd632aac640,1.0,True
classification_task\train\pituitary\brisc2025_train_03749_pi_ax_t1.jpg,brisc2025_train_03749_pi_ax_t1.jpg,classification,train,3749,pi,pituitary,ax,axial,T1,False,,512,512,32517,08690b76457b2b44d58682cece62ec951ef6d30d935ce07df852e97d44434680,1.0,True
classification_task\train\pituitary\brisc2025_train_04176_pi_co_t1.jpg,brisc2025_train_04176_pi_co_t1.jpg,classification,train,4176,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\train\pituitary\brisc2025_train_04177_pi_co_t1.jpg,brisc2025_train_04177_pi_co_t1.jpg,classification,train,4177,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\train\pituitary\brisc2025_train_04178_pi_co_t1.jpg,brisc2025_train_04178_pi_co_t1.jpg,classification,train,4178,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\train\pituitary\brisc2025_train_04194_pi_co_t1.jpg,brisc2025_train_04194_pi_co_t1.jpg,classification,train,4194,pi,pituitary,co,coronal,T1,False,,512,512,34743,02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,1.0,True
classification_task\train\pituitary\brisc2025_train_04218_pi_co_t1.jpg,brisc2025_train_04218_pi_co_t1.jpg,classification,train,4218,pi,pituitary,co,coronal,T1,False,,512,512,36127,b5e17076d1427e41a618f92bc72100c1be4df26608223512aac51c911ac1eb88,1.0,True
