relative_path,filename,task,split,index,tumor_code,tumor_label,plane_code,plane_label,sequence,is_mask,linked_image,width,height,file_size_bytes,sha256,aspect_ratio,is_square
classification_task\test\glioma\brisc2025_test_00030_gl_ax_t1.jpg,brisc2025_test_00030_gl_ax_t1.jpg,classification,test,30,gl,glioma,ax,axial,T1,False,,512,512,14824,0de951286256834bd2ddc4e26fe9795265fc200a9f7c85af3fc707eb0bfc8803,1.0,True
classification_task\test\glioma\brisc2025_test_00092_gl_co_t1.jpg,brisc2025_test_00092_gl_co_t1.jpg,classification,test,92,gl,glioma,co,coronal,T1,False,,512,512,14824,0de951286256834bd2ddc4e26fe9795265fc200a9f7c85af3fc707eb0bfc8803,1.0,True
classification_task\test\meningioma\brisc2025_test_00262_me_ax_t1.jpg,brisc2025_test_00262_me_ax_t1.jpg,classification,test,262,me,meningioma,ax,axial,T1,False,,455,500,37473,86847c6a4729a4b19bf1b3f58905c68812c6f75ea680c0ccb1621b94e165d16f,0.91,False
classification_task\test\meningioma\brisc2025_test_00275_me_ax_t1.jpg,brisc2025_test_00275_me_ax_t1.jpg,classification,test,275,me,meningioma,ax,axial,T1,False,,455,500,37473,86847c6a4729a4b19bf1b3f58905c68812c6f75ea680c0ccb1621b94e165d16f,0.91,False
classification_task\test\meningioma\brisc2025_test_00344_me_ax_t1.jpg,brisc2025_test_00344_me_ax_t1.jpg,classification,test,344,me,meningioma,ax,axial,T1,False,,512,512,17877,960155b05ea8f0ddcbcd3a5e29905c2a4b55832f03e5b7d6491c73955960d278,1.0,True
classification_task\test\meningioma\brisc2025_test_00352_me_ax_t1.jpg,brisc2025_test_00352_me_ax_t1.jpg,classification,test,352,me,meningioma,ax,axial,T1,False,,201,251,9501,f3d00bbb942117c2fb62466414d3c466ca283b678200fe87424e4128b80b2dba,0.8007968127490039,False
classification_task\test\meningioma\brisc2025_test_00361_me_ax_t1.jpg,brisc2025_test_00361_me_ax_t1.jpg,classification,test,361,me,meningioma,ax,axial,T1,False,,512,512,18366,94247e44617a135f0ce0ad29fcdff8c7bf484f3f2e4a9826c2ba4267709e5706,1.0,True
classification_task\test\meningioma\brisc2025_test_00415_me_co_t1.jpg,brisc2025_test_00415_me_co_t1.jpg,classification,test,415,me,meningioma,co,coronal,T1,False,,341,395,28353,f55311fb8ccf1b86450233262bd00b176bd1c404e5849b59c0a3cd5e4440626b,0.8632911392405064,False
classification_task\test\meningioma\brisc2025_test_00416_me_co_t1.jpg,brisc2025_test_00416_me_co_t1.jpg,classification,test,416,me,meningioma,co,coronal,T1,False,,341,395,28353,f55311fb8ccf1b86450233262bd00b176bd1c404e5849b59c0a3cd5e4440626b,0.8632911392405064,False
classification_task\test\meningioma\brisc2025_test_00429_me_co_t1.jpg,brisc2025_test_00429_me_co_t1.jpg,classification,test,429,me,meningioma,co,coronal,T1,False,,512,512,18366,94247e44617a135f0ce0ad29fcdff8c7bf484f3f2e4a9826c2ba4267709e5706,1.0,True
classification_task\test\no_tumor\brisc2025_test_00659_no_co_t1.jpg,brisc2025_test_00659_no_co_t1.jpg,classification,test,659,no,no_tumor,co,coronal,T1,False,,216,369,7735,8d7abec740c4d59168bd40626034ce16cc2054a6b46cdf913d1dcaab2671397a,0.5853658536585366,False
classification_task\test\no_tumor\brisc2025_test_00660_no_co_t1.jpg,brisc2025_test_00660_no_co_t1.jpg,classification,test,660,no,no_tumor,co,coronal,T1,False,,216,369,7735,8d7abec740c4d59168bd40626034ce16cc2054a6b46cdf913d1dcaab2671397a,0.5853658536585366,False
