index,h5_name,model_name,h5_normalized,model_normalized,same_position
0,efficientnetb0/block6c_se_reduce/kernel:0,normalization_3/mean:0,efficientnetb0/block6c_se_reduce/kernel,normalization_3/mean,False
1,efficientnetb0/block6c_se_reduce/bias:0,normalization_3/variance:0,efficientnetb0/block6c_se_reduce/bias,normalization_3/variance,False
2,efficientnetb0/block6c_se_expand/kernel:0,normalization_3/count:0,efficientnetb0/block6c_se_expand/kernel,normalization_3/count,False
3,efficientnetb0/block6c_se_expand/bias:0,stem_conv/kernel:0,efficientnetb0/block6c_se_expand/bias,stem_conv/kernel,False
4,efficientnetb0/block6c_project_conv/kernel:0,stem_bn/gamma:0,efficientnetb0/block6c_project_conv/kernel,stem_bn/gamma,False
5,efficientnetb0/block6d_expand_conv/kernel:0,stem_bn/beta:0,efficientnetb0/block6d_expand_conv/kernel,stem_bn/beta,False
6,efficientnetb0/block6d_dwconv/depthwise_kernel:0,stem_bn/moving_mean:0,efficientnetb0/block6d_dwconv/depthwise_kernel,stem_bn/moving_mean,False
7,efficientnetb0/block6d_se_reduce/kernel:0,stem_bn/moving_variance:0,efficientnetb0/block6d_se_reduce/kernel,stem_bn/moving_variance,False
8,efficientnetb0/block6d_se_reduce/bias:0,block1a_dwconv/depthwise_kernel:0,efficientnetb0/block6d_se_reduce/bias,block1a_dwconv/depthwise_kernel,False
9,efficientnetb0/block6d_se_expand/kernel:0,block1a_bn/gamma:0,efficientnetb0/block6d_se_expand/kernel,block1a_bn/gamma,False
10,efficientnetb0/block6d_se_expand/bias:0,block1a_bn/beta:0,efficientnetb0/block6d_se_expand/bias,block1a_bn/beta,False
11,efficientnetb0/block6d_project_conv/kernel:0,block1a_bn/moving_mean:0,efficientnetb0/block6d_project_conv/kernel,block1a_bn/moving_mean,False
12,efficientnetb0/block7a_expand_conv/kernel:0,block1a_bn/moving_variance:0,efficientnetb0/block7a_expand_conv/kernel,block1a_bn/moving_variance,False
13,efficientnetb0/block7a_dwconv/depthwise_kernel:0,block1a_se_reduce/kernel:0,efficientnetb0/block7a_dwconv/depthwise_kernel,block1a_se_reduce/kernel,False
14,efficientnetb0/block7a_se_reduce/kernel:0,block1a_se_reduce/bias:0,efficientnetb0/block7a_se_reduce/kernel,block1a_se_reduce/bias,False
15,efficientnetb0/block7a_se_reduce/bias:0,block1a_se_expand/kernel:0,efficientnetb0/block7a_se_reduce/bias,block1a_se_expand/kernel,False
16,efficientnetb0/block7a_se_expand/kernel:0,block1a_se_expand/bias:0,efficientnetb0/block7a_se_expand/kernel,block1a_se_expand/bias,False
17,efficientnetb0/block7a_se_expand/bias:0,block1a_project_conv/kernel:0,efficientnetb0/block7a_se_expand/bias,block1a_project_conv/kernel,False
18,efficientnetb0/block7a_project_conv/kernel:0,block1a_project_bn/gamma:0,efficientnetb0/block7a_project_conv/kernel,block1a_project_bn/gamma,False
19,efficientnetb0/top_conv/kernel:0,block1a_project_bn/beta:0,efficientnetb0/top_conv/kernel,block1a_project_bn/beta,False
20,efficientnetb0/normalization_1/mean:0,block1a_project_bn/moving_mean:0,efficientnetb0/normalization_1/mean,block1a_project_bn/moving_mean,False
21,efficientnetb0/normalization_1/variance:0,block1a_project_bn/moving_variance:0,efficientnetb0/normalization_1/variance,block1a_project_bn/moving_variance,False
22,efficientnetb0/normalization_1/count:0,block2a_expand_conv/kernel:0,efficientnetb0/normalization_1/count,block2a_expand_conv/kernel,False
23,efficientnetb0/stem_conv/kernel:0,block2a_expand_bn/gamma:0,efficientnetb0/stem_conv/kernel,block2a_expand_bn/gamma,False
24,efficientnetb0/stem_bn/gamma:0,block2a_expand_bn/beta:0,efficientnetb0/stem_bn/gamma,block2a_expand_bn/beta,False
25,efficientnetb0/stem_bn/beta:0,block2a_expand_bn/moving_mean:0,efficientnetb0/stem_bn/beta,block2a_expand_bn/moving_mean,False
26,efficientnetb0/stem_bn/moving_mean:0,block2a_expand_bn/moving_variance:0,efficientnetb0/stem_bn/moving_mean,block2a_expand_bn/moving_variance,False
27,efficientnetb0/stem_bn/moving_variance:0,block2a_dwconv/depthwise_kernel:0,efficientnetb0/stem_bn/moving_variance,block2a_dwconv/depthwise_kernel,False
28,efficientnetb0/block1a_dwconv/depthwise_kernel:0,block2a_bn/gamma:0,efficientnetb0/block1a_dwconv/depthwise_kernel,block2a_bn/gamma,False
29,efficientnetb0/block1a_bn/gamma:0,block2a_bn/beta:0,efficientnetb0/block1a_bn/gamma,block2a_bn/beta,False
