tensor_index,h5_layer,h5_weight,h5_shape,model_variable,model_shape,direct_shape_match,status
0,efficientnetb0,block6c_se_reduce/kernel:0,"(1, 1, 1152, 48)",normalization_1/mean:0,"(3,)",False,FAIL
1,efficientnetb0,block6c_se_reduce/bias:0,"(48,)",normalization_1/variance:0,"(3,)",False,FAIL
2,efficientnetb0,block6c_se_expand/kernel:0,"(1, 1, 48, 1152)",normalization_1/count:0,(),False,FAIL
3,efficientnetb0,block6c_se_expand/bias:0,"(1152,)",stem_conv/kernel:0,"(3, 3, 3, 32)",False,FAIL
4,efficientnetb0,block6c_project_conv/kernel:0,"(1, 1, 1152, 192)",stem_bn/gamma:0,"(32,)",False,FAIL
5,efficientnetb0,block6d_expand_conv/kernel:0,"(1, 1, 192, 1152)",stem_bn/beta:0,"(32,)",False,FAIL
6,efficientnetb0,block6d_dwconv/depthwise_kernel:0,"(5, 5, 1152, 1)",stem_bn/moving_mean:0,"(32,)",False,FAIL
7,efficientnetb0,block6d_se_reduce/kernel:0,"(1, 1, 1152, 48)",stem_bn/moving_variance:0,"(32,)",False,FAIL
8,efficientnetb0,block6d_se_reduce/bias:0,"(48,)",block1a_dwconv/depthwise_kernel:0,"(3, 3, 32, 1)",False,FAIL
9,efficientnetb0,block6d_se_expand/kernel:0,"(1, 1, 48, 1152)",block1a_bn/gamma:0,"(32,)",False,FAIL
10,efficientnetb0,block6d_se_expand/bias:0,"(1152,)",block1a_bn/beta:0,"(32,)",False,FAIL
11,efficientnetb0,block6d_project_conv/kernel:0,"(1, 1, 1152, 192)",block1a_bn/moving_mean:0,"(32,)",False,FAIL
12,efficientnetb0,block7a_expand_conv/kernel:0,"(1, 1, 192, 1152)",block1a_bn/moving_variance:0,"(32,)",False,FAIL
13,efficientnetb0,block7a_dwconv/depthwise_kernel:0,"(3, 3, 1152, 1)",block1a_se_reduce/kernel:0,"(1, 1, 32, 8)",False,FAIL
14,efficientnetb0,block7a_se_reduce/kernel:0,"(1, 1, 1152, 48)",block1a_se_reduce/bias:0,"(8,)",False,FAIL
15,efficientnetb0,block7a_se_reduce/bias:0,"(48,)",block1a_se_expand/kernel:0,"(1, 1, 8, 32)",False,FAIL
16,efficientnetb0,block7a_se_expand/kernel:0,"(1, 1, 48, 1152)",block1a_se_expand/bias:0,"(32,)",False,FAIL
17,efficientnetb0,block7a_se_expand/bias:0,"(1152,)",block1a_project_conv/kernel:0,"(1, 1, 32, 16)",False,FAIL
18,efficientnetb0,block7a_project_conv/kernel:0,"(1, 1, 1152, 320)",block1a_project_bn/gamma:0,"(16,)",False,FAIL
19,efficientnetb0,top_conv/kernel:0,"(1, 1, 320, 1280)",block1a_project_bn/beta:0,"(16,)",False,FAIL
20,efficientnetb0,normalization_1/mean:0,"(3,)",block1a_project_bn/moving_mean:0,"(16,)",False,FAIL
21,efficientnetb0,normalization_1/variance:0,"(3,)",block1a_project_bn/moving_variance:0,"(16,)",False,FAIL
22,efficientnetb0,normalization_1/count:0,(),block2a_expand_conv/kernel:0,"(1, 1, 16, 96)",False,FAIL
23,efficientnetb0,stem_conv/kernel:0,"(3, 3, 3, 32)",block2a_expand_bn/gamma:0,"(96,)",False,FAIL
24,efficientnetb0,stem_bn/gamma:0,"(32,)",block2a_expand_bn/beta:0,"(96,)",False,FAIL
25,efficientnetb0,stem_bn/beta:0,"(32,)",block2a_expand_bn/moving_mean:0,"(96,)",False,FAIL
26,efficientnetb0,stem_bn/moving_mean:0,"(32,)",block2a_expand_bn/moving_variance:0,"(96,)",False,FAIL
27,efficientnetb0,stem_bn/moving_variance:0,"(32,)",block2a_dwconv/depthwise_kernel:0,"(3, 3, 96, 1)",False,FAIL
28,efficientnetb0,block1a_dwconv/depthwise_kernel:0,"(3, 3, 32, 1)",block2a_bn/gamma:0,"(96,)",False,FAIL
29,efficientnetb0,block1a_bn/gamma:0,"(32,)",block2a_bn/beta:0,"(96,)",False,FAIL
30,efficientnetb0,block1a_bn/beta:0,"(32,)",block2a_bn/moving_mean:0,"(96,)",False,FAIL
31,efficientnetb0,block1a_bn/moving_mean:0,"(32,)",block2a_bn/moving_variance:0,"(96,)",False,FAIL
32,efficientnetb0,block1a_bn/moving_variance:0,"(32,)",block2a_se_reduce/kernel:0,"(1, 1, 96, 4)",False,FAIL
33,efficientnetb0,block1a_se_reduce/kernel:0,"(1, 1, 32, 8)",block2a_se_reduce/bias:0,"(4,)",False,FAIL
34,efficientnetb0,block1a_se_reduce/bias:0,"(8,)",block2a_se_expand/kernel:0,"(1, 1, 4, 96)",False,FAIL
35,efficientnetb0,block1a_se_expand/kernel:0,"(1, 1, 8, 32)",block2a_se_expand/bias:0,"(96,)",False,FAIL
36,efficientnetb0,block1a_se_expand/bias:0,"(32,)",block2a_project_conv/kernel:0,"(1, 1, 96, 24)",False,FAIL
