layer_index,layer_name,weight_index,weight_name,shape,num_values,status
1,efficientnetb0,0,block6c_se_reduce/kernel:0,"(1, 1, 1152, 48)",55296,FOUND
1,efficientnetb0,1,block6c_se_reduce/bias:0,"(48,)",48,FOUND
1,efficientnetb0,2,block6c_se_expand/kernel:0,"(1, 1, 48, 1152)",55296,FOUND
1,efficientnetb0,3,block6c_se_expand/bias:0,"(1152,)",1152,FOUND
1,efficientnetb0,4,block6c_project_conv/kernel:0,"(1, 1, 1152, 192)",221184,FOUND
1,efficientnetb0,5,block6d_expand_conv/kernel:0,"(1, 1, 192, 1152)",221184,FOUND
1,efficientnetb0,6,block6d_dwconv/depthwise_kernel:0,"(5, 5, 1152, 1)",28800,FOUND
1,efficientnetb0,7,block6d_se_reduce/kernel:0,"(1, 1, 1152, 48)",55296,FOUND
1,efficientnetb0,8,block6d_se_reduce/bias:0,"(48,)",48,FOUND
1,efficientnetb0,9,block6d_se_expand/kernel:0,"(1, 1, 48, 1152)",55296,FOUND
1,efficientnetb0,10,block6d_se_expand/bias:0,"(1152,)",1152,FOUND
1,efficientnetb0,11,block6d_project_conv/kernel:0,"(1, 1, 1152, 192)",221184,FOUND
1,efficientnetb0,12,block7a_expand_conv/kernel:0,"(1, 1, 192, 1152)",221184,FOUND
1,efficientnetb0,13,block7a_dwconv/depthwise_kernel:0,"(3, 3, 1152, 1)",10368,FOUND
1,efficientnetb0,14,block7a_se_reduce/kernel:0,"(1, 1, 1152, 48)",55296,FOUND
1,efficientnetb0,15,block7a_se_reduce/bias:0,"(48,)",48,FOUND
1,efficientnetb0,16,block7a_se_expand/kernel:0,"(1, 1, 48, 1152)",55296,FOUND
1,efficientnetb0,17,block7a_se_expand/bias:0,"(1152,)",1152,FOUND
1,efficientnetb0,18,block7a_project_conv/kernel:0,"(1, 1, 1152, 320)",368640,FOUND
1,efficientnetb0,19,top_conv/kernel:0,"(1, 1, 320, 1280)",409600,FOUND
1,efficientnetb0,20,normalization_1/mean:0,"(3,)",3,FOUND
1,efficientnetb0,21,normalization_1/variance:0,"(3,)",3,FOUND
1,efficientnetb0,22,normalization_1/count:0,(),1,FOUND
1,efficientnetb0,23,stem_conv/kernel:0,"(3, 3, 3, 32)",864,FOUND
1,efficientnetb0,24,stem_bn/gamma:0,"(32,)",32,FOUND
1,efficientnetb0,25,stem_bn/beta:0,"(32,)",32,FOUND
1,efficientnetb0,26,stem_bn/moving_mean:0,"(32,)",32,FOUND
