EFFICIENTNET-B0 KERAS H5 SERIALIZATION METADATA
====================================================================================================
H5 file: D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\models\efficientnetb0\efficientnetb0_best_weights.h5
Metadata records: 320

STATUS COUNTS
----------------------------------------------------------------------------------------------------
FOUND: 320

SERIALIZED WEIGHT ORDER
----------------------------------------------------------------------------------------------------
layer=1 | layer_name=efficientnetb0 | weight=0 | name=block6c_se_reduce/kernel:0 | shape=(1, 1, 1152, 48) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=1 | name=block6c_se_reduce/bias:0 | shape=(48,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=2 | name=block6c_se_expand/kernel:0 | shape=(1, 1, 48, 1152) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=3 | name=block6c_se_expand/bias:0 | shape=(1152,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=4 | name=block6c_project_conv/kernel:0 | shape=(1, 1, 1152, 192) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=5 | name=block6d_expand_conv/kernel:0 | shape=(1, 1, 192, 1152) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=6 | name=block6d_dwconv/depthwise_kernel:0 | shape=(5, 5, 1152, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=7 | name=block6d_se_reduce/kernel:0 | shape=(1, 1, 1152, 48) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=8 | name=block6d_se_reduce/bias:0 | shape=(48,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=9 | name=block6d_se_expand/kernel:0 | shape=(1, 1, 48, 1152) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=10 | name=block6d_se_expand/bias:0 | shape=(1152,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=11 | name=block6d_project_conv/kernel:0 | shape=(1, 1, 1152, 192) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=12 | name=block7a_expand_conv/kernel:0 | shape=(1, 1, 192, 1152) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=13 | name=block7a_dwconv/depthwise_kernel:0 | shape=(3, 3, 1152, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=14 | name=block7a_se_reduce/kernel:0 | shape=(1, 1, 1152, 48) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=15 | name=block7a_se_reduce/bias:0 | shape=(48,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=16 | name=block7a_se_expand/kernel:0 | shape=(1, 1, 48, 1152) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=17 | name=block7a_se_expand/bias:0 | shape=(1152,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=18 | name=block7a_project_conv/kernel:0 | shape=(1, 1, 1152, 320) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=19 | name=top_conv/kernel:0 | shape=(1, 1, 320, 1280) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=20 | name=normalization_1/mean:0 | shape=(3,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=21 | name=normalization_1/variance:0 | shape=(3,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=22 | name=normalization_1/count:0 | shape=() | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=23 | name=stem_conv/kernel:0 | shape=(3, 3, 3, 32) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=24 | name=stem_bn/gamma:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=25 | name=stem_bn/beta:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=26 | name=stem_bn/moving_mean:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=27 | name=stem_bn/moving_variance:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=28 | name=block1a_dwconv/depthwise_kernel:0 | shape=(3, 3, 32, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=29 | name=block1a_bn/gamma:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=30 | name=block1a_bn/beta:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=31 | name=block1a_bn/moving_mean:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=32 | name=block1a_bn/moving_variance:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=33 | name=block1a_se_reduce/kernel:0 | shape=(1, 1, 32, 8) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=34 | name=block1a_se_reduce/bias:0 | shape=(8,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=35 | name=block1a_se_expand/kernel:0 | shape=(1, 1, 8, 32) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=36 | name=block1a_se_expand/bias:0 | shape=(32,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=37 | name=block1a_project_conv/kernel:0 | shape=(1, 1, 32, 16) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=38 | name=block1a_project_bn/gamma:0 | shape=(16,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=39 | name=block1a_project_bn/beta:0 | shape=(16,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=40 | name=block1a_project_bn/moving_mean:0 | shape=(16,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=41 | name=block1a_project_bn/moving_variance:0 | shape=(16,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=42 | name=block2a_expand_conv/kernel:0 | shape=(1, 1, 16, 96) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=43 | name=block2a_expand_bn/gamma:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=44 | name=block2a_expand_bn/beta:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=45 | name=block2a_expand_bn/moving_mean:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=46 | name=block2a_expand_bn/moving_variance:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=47 | name=block2a_dwconv/depthwise_kernel:0 | shape=(3, 3, 96, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=48 | name=block2a_bn/gamma:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=49 | name=block2a_bn/beta:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=50 | name=block2a_bn/moving_mean:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=51 | name=block2a_bn/moving_variance:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=52 | name=block2a_se_reduce/kernel:0 | shape=(1, 1, 96, 4) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=53 | name=block2a_se_reduce/bias:0 | shape=(4,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=54 | name=block2a_se_expand/kernel:0 | shape=(1, 1, 4, 96) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=55 | name=block2a_se_expand/bias:0 | shape=(96,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=56 | name=block2a_project_conv/kernel:0 | shape=(1, 1, 96, 24) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=57 | name=block2a_project_bn/gamma:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=58 | name=block2a_project_bn/beta:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=59 | name=block2a_project_bn/moving_mean:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=60 | name=block2a_project_bn/moving_variance:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=61 | name=block2b_expand_conv/kernel:0 | shape=(1, 1, 24, 144) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=62 | name=block2b_expand_bn/gamma:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=63 | name=block2b_expand_bn/beta:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=64 | name=block2b_expand_bn/moving_mean:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=65 | name=block2b_expand_bn/moving_variance:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=66 | name=block2b_dwconv/depthwise_kernel:0 | shape=(3, 3, 144, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=67 | name=block2b_bn/gamma:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=68 | name=block2b_bn/beta:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=69 | name=block2b_bn/moving_mean:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=70 | name=block2b_bn/moving_variance:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=71 | name=block2b_se_reduce/kernel:0 | shape=(1, 1, 144, 6) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=72 | name=block2b_se_reduce/bias:0 | shape=(6,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=73 | name=block2b_se_expand/kernel:0 | shape=(1, 1, 6, 144) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=74 | name=block2b_se_expand/bias:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=75 | name=block2b_project_conv/kernel:0 | shape=(1, 1, 144, 24) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=76 | name=block2b_project_bn/gamma:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=77 | name=block2b_project_bn/beta:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=78 | name=block2b_project_bn/moving_mean:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=79 | name=block2b_project_bn/moving_variance:0 | shape=(24,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=80 | name=block3a_expand_conv/kernel:0 | shape=(1, 1, 24, 144) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=81 | name=block3a_expand_bn/gamma:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=82 | name=block3a_expand_bn/beta:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=83 | name=block3a_expand_bn/moving_mean:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=84 | name=block3a_expand_bn/moving_variance:0 | shape=(144,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=85 | name=block3a_dwconv/depthwise_kernel:0 | shape=(5, 5, 144, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=86 | name=block3a_bn/gamma:0 | shape=(144,) | status=FOUND
