keras_layer,keras_weight_count,h5_candidate_count,status
efficientnetb0_brisc2025,320,0,NO_H5_MATCH
efficientnetb0,312,0,NO_H5_MATCH
normalization,3,0,NO_H5_MATCH
stem_conv,1,1,ASSIGNED
stem_bn,4,4,ASSIGNED
block1a_dwconv,1,1,ASSIGNED
block1a_bn,4,4,ASSIGNED
block1a_se_reduce,2,2,ASSIGNED
block1a_se_expand,2,2,ASSIGNED
block1a_project_conv,1,1,ASSIGNED
block1a_project_bn,4,4,ASSIGNED
block2a_expand_conv,1,1,ASSIGNED
block2a_expand_bn,4,4,ASSIGNED
block2a_dwconv,1,1,ASSIGNED
block2a_bn,4,4,ASSIGNED
block2a_se_reduce,2,2,ASSIGNED
block2a_se_expand,2,2,ASSIGNED
block2a_project_conv,1,1,ASSIGNED
block2a_project_bn,4,4,ASSIGNED
block2b_expand_conv,1,1,ASSIGNED
block2b_expand_bn,4,4,ASSIGNED
block2b_dwconv,1,1,ASSIGNED
block2b_bn,4,4,ASSIGNED
block2b_se_reduce,2,2,ASSIGNED
block2b_se_expand,2,2,ASSIGNED
block2b_project_conv,1,1,ASSIGNED
block2b_project_bn,4,4,ASSIGNED
block3a_expand_conv,1,1,ASSIGNED
block3a_expand_bn,4,4,ASSIGNED
block3a_dwconv,1,1,ASSIGNED
block3a_bn,4,4,ASSIGNED
block3a_se_reduce,2,2,ASSIGNED
block3a_se_expand,2,2,ASSIGNED
block3a_project_conv,1,1,ASSIGNED
block3a_project_bn,4,4,ASSIGNED
block3b_expand_conv,1,1,ASSIGNED
block3b_expand_bn,4,4,ASSIGNED
block3b_dwconv,1,1,ASSIGNED
block3b_bn,4,4,ASSIGNED
block3b_se_reduce,2,2,ASSIGNED
block3b_se_expand,2,2,ASSIGNED
block3b_project_conv,1,1,ASSIGNED
block3b_project_bn,4,4,ASSIGNED
block4a_expand_conv,1,1,ASSIGNED
block4a_expand_bn,4,4,ASSIGNED
block4a_dwconv,1,1,ASSIGNED
block4a_bn,4,4,ASSIGNED
block4a_se_reduce,2,2,ASSIGNED
block4a_se_expand,2,2,ASSIGNED
block4a_project_conv,1,1,ASSIGNED
block4a_project_bn,4,4,ASSIGNED
block4b_expand_conv,1,1,ASSIGNED
block4b_expand_bn,4,4,ASSIGNED
block4b_dwconv,1,1,ASSIGNED
block4b_bn,4,4,ASSIGNED
block4b_se_reduce,2,2,ASSIGNED
block4b_se_expand,2,2,ASSIGNED
block4b_project_conv,1,1,ASSIGNED
block4b_project_bn,4,4,ASSIGNED
block4c_expand_conv,1,1,ASSIGNED
block4c_expand_bn,4,4,ASSIGNED
block4c_dwconv,1,1,ASSIGNED
block4c_bn,4,4,ASSIGNED
block4c_se_reduce,2,2,ASSIGNED
block4c_se_expand,2,2,ASSIGNED
block4c_project_conv,1,1,ASSIGNED
block4c_project_bn,4,4,ASSIGNED
block5a_expand_conv,1,1,ASSIGNED
block5a_expand_bn,4,4,ASSIGNED
block5a_dwconv,1,1,ASSIGNED
block5a_bn,4,4,ASSIGNED
block5a_se_reduce,2,2,ASSIGNED
block5a_se_expand,2,2,ASSIGNED
block5a_project_conv,1,1,ASSIGNED
block5a_project_bn,4,4,ASSIGNED
block5b_expand_conv,1,1,ASSIGNED
block5b_expand_bn,4,4,ASSIGNED
block5b_dwconv,1,1,ASSIGNED
block5b_bn,4,4,ASSIGNED
block5b_se_reduce,2,2,ASSIGNED
block5b_se_expand,2,2,ASSIGNED
block5b_project_conv,1,1,ASSIGNED
block5b_project_bn,4,4,ASSIGNED
block5c_expand_conv,1,1,ASSIGNED
block5c_expand_bn,4,4,ASSIGNED
block5c_dwconv,1,1,ASSIGNED
block5c_bn,4,4,ASSIGNED
block5c_se_reduce,2,2,ASSIGNED
block5c_se_expand,2,2,ASSIGNED
block5c_project_conv,1,1,ASSIGNED
block5c_project_bn,4,4,ASSIGNED
block6a_expand_conv,1,1,ASSIGNED
block6a_expand_bn,4,4,ASSIGNED
block6a_dwconv,1,1,ASSIGNED
block6a_bn,4,4,ASSIGNED
block6a_se_reduce,2,2,ASSIGNED
block6a_se_expand,2,2,ASSIGNED
block6a_project_conv,1,1,ASSIGNED
block6a_project_bn,4,4,ASSIGNED
