keras_variable,keras_shape,keras_num_values,exact_shape_matches,matching_h5_names
normalization/mean:0,"(3,)",3,2,efficientnetb0/normalization_1/mean:0 || efficientnetb0/normalization_1/variance:0
normalization/variance:0,"(3,)",3,2,efficientnetb0/normalization_1/mean:0 || efficientnetb0/normalization_1/variance:0
normalization/count:0,(),1,1,efficientnetb0/normalization_1/count:0
stem_conv/kernel:0,"(3, 3, 3, 32)",864,1,efficientnetb0/stem_conv/kernel:0
stem_bn/gamma:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
stem_bn/beta:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
stem_bn/moving_mean:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
stem_bn/moving_variance:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
block1a_dwconv/depthwise_kernel:0,"(3, 3, 32, 1)",288,1,efficientnetb0/block1a_dwconv/depthwise_kernel:0
block1a_bn/gamma:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
block1a_bn/beta:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
block1a_bn/moving_mean:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
block1a_bn/moving_variance:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
block1a_se_reduce/kernel:0,"(1, 1, 32, 8)",256,1,efficientnetb0/block1a_se_reduce/kernel:0
block1a_se_reduce/bias:0,"(8,)",8,1,efficientnetb0/block1a_se_reduce/bias:0
block1a_se_expand/kernel:0,"(1, 1, 8, 32)",256,1,efficientnetb0/block1a_se_expand/kernel:0
block1a_se_expand/bias:0,"(32,)",32,9,efficientnetb0/block1a_bn/beta:0 || efficientnetb0/block1a_bn/gamma:0 || efficientnetb0/block1a_bn/moving_mean:0 || efficientnetb0/block1a_bn/moving_variance:0 || efficientnetb0/block1a_se_expand/bias:0 || efficientnetb0/stem_bn/beta:0 || efficientnetb0/stem_bn/gamma:0 || efficientnetb0/stem_bn/moving_mean:0 || efficientnetb0/stem_bn/moving_variance:0
block1a_project_conv/kernel:0,"(1, 1, 32, 16)",512,1,efficientnetb0/block1a_project_conv/kernel:0
block1a_project_bn/gamma:0,"(16,)",16,4,efficientnetb0/block1a_project_bn/beta:0 || efficientnetb0/block1a_project_bn/gamma:0 || efficientnetb0/block1a_project_bn/moving_mean:0 || efficientnetb0/block1a_project_bn/moving_variance:0
block1a_project_bn/beta:0,"(16,)",16,4,efficientnetb0/block1a_project_bn/beta:0 || efficientnetb0/block1a_project_bn/gamma:0 || efficientnetb0/block1a_project_bn/moving_mean:0 || efficientnetb0/block1a_project_bn/moving_variance:0
block1a_project_bn/moving_mean:0,"(16,)",16,4,efficientnetb0/block1a_project_bn/beta:0 || efficientnetb0/block1a_project_bn/gamma:0 || efficientnetb0/block1a_project_bn/moving_mean:0 || efficientnetb0/block1a_project_bn/moving_variance:0
block1a_project_bn/moving_variance:0,"(16,)",16,4,efficientnetb0/block1a_project_bn/beta:0 || efficientnetb0/block1a_project_bn/gamma:0 || efficientnetb0/block1a_project_bn/moving_mean:0 || efficientnetb0/block1a_project_bn/moving_variance:0
block2a_expand_conv/kernel:0,"(1, 1, 16, 96)",1536,1,efficientnetb0/block2a_expand_conv/kernel:0
block2a_expand_bn/gamma:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_expand_bn/beta:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_expand_bn/moving_mean:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_expand_bn/moving_variance:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_dwconv/depthwise_kernel:0,"(3, 3, 96, 1)",864,1,efficientnetb0/block2a_dwconv/depthwise_kernel:0
block2a_bn/gamma:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_bn/beta:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_bn/moving_mean:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_bn/moving_variance:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_se_reduce/kernel:0,"(1, 1, 96, 4)",384,1,efficientnetb0/block2a_se_reduce/kernel:0
block2a_se_reduce/bias:0,"(4,)",4,2,efficientnetb0/block2a_se_reduce/bias:0 || predictions/predictions/bias:0
block2a_se_expand/kernel:0,"(1, 1, 4, 96)",384,1,efficientnetb0/block2a_se_expand/kernel:0
block2a_se_expand/bias:0,"(96,)",96,9,efficientnetb0/block2a_bn/beta:0 || efficientnetb0/block2a_bn/gamma:0 || efficientnetb0/block2a_bn/moving_mean:0 || efficientnetb0/block2a_bn/moving_variance:0 || efficientnetb0/block2a_expand_bn/beta:0 || efficientnetb0/block2a_expand_bn/gamma:0 || efficientnetb0/block2a_expand_bn/moving_mean:0 || efficientnetb0/block2a_expand_bn/moving_variance:0 || efficientnetb0/block2a_se_expand/bias:0
block2a_project_conv/kernel:0,"(1, 1, 96, 24)",2304,1,efficientnetb0/block2a_project_conv/kernel:0
block2a_project_bn/gamma:0,"(24,)",24,8,efficientnetb0/block2a_project_bn/beta:0 || efficientnetb0/block2a_project_bn/gamma:0 || efficientnetb0/block2a_project_bn/moving_mean:0 || efficientnetb0/block2a_project_bn/moving_variance:0 || efficientnetb0/block2b_project_bn/beta:0 || efficientnetb0/block2b_project_bn/gamma:0 || efficientnetb0/block2b_project_bn/moving_mean:0 || efficientnetb0/block2b_project_bn/moving_variance:0
block2a_project_bn/beta:0,"(24,)",24,8,efficientnetb0/block2a_project_bn/beta:0 || efficientnetb0/block2a_project_bn/gamma:0 || efficientnetb0/block2a_project_bn/moving_mean:0 || efficientnetb0/block2a_project_bn/moving_variance:0 || efficientnetb0/block2b_project_bn/beta:0 || efficientnetb0/block2b_project_bn/gamma:0 || efficientnetb0/block2b_project_bn/moving_mean:0 || efficientnetb0/block2b_project_bn/moving_variance:0
block2a_project_bn/moving_mean:0,"(24,)",24,8,efficientnetb0/block2a_project_bn/beta:0 || efficientnetb0/block2a_project_bn/gamma:0 || efficientnetb0/block2a_project_bn/moving_mean:0 || efficientnetb0/block2a_project_bn/moving_variance:0 || efficientnetb0/block2b_project_bn/beta:0 || efficientnetb0/block2b_project_bn/gamma:0 || efficientnetb0/block2b_project_bn/moving_mean:0 || efficientnetb0/block2b_project_bn/moving_variance:0
block2a_project_bn/moving_variance:0,"(24,)",24,8,efficientnetb0/block2a_project_bn/beta:0 || efficientnetb0/block2a_project_bn/gamma:0 || efficientnetb0/block2a_project_bn/moving_mean:0 || efficientnetb0/block2a_project_bn/moving_variance:0 || efficientnetb0/block2b_project_bn/beta:0 || efficientnetb0/block2b_project_bn/gamma:0 || efficientnetb0/block2b_project_bn/moving_mean:0 || efficientnetb0/block2b_project_bn/moving_variance:0
block2b_expand_conv/kernel:0,"(1, 1, 24, 144)",3456,2,efficientnetb0/block2b_expand_conv/kernel:0 || efficientnetb0/block3a_expand_conv/kernel:0
block2b_expand_bn/gamma:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_expand_bn/beta:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_expand_bn/moving_mean:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_expand_bn/moving_variance:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_dwconv/depthwise_kernel:0,"(3, 3, 144, 1)",1296,1,efficientnetb0/block2b_dwconv/depthwise_kernel:0
block2b_bn/gamma:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_bn/beta:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_bn/moving_mean:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_bn/moving_variance:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_se_reduce/kernel:0,"(1, 1, 144, 6)",864,2,efficientnetb0/block2b_se_reduce/kernel:0 || efficientnetb0/block3a_se_reduce/kernel:0
block2b_se_reduce/bias:0,"(6,)",6,2,efficientnetb0/block2b_se_reduce/bias:0 || efficientnetb0/block3a_se_reduce/bias:0
block2b_se_expand/kernel:0,"(1, 1, 6, 144)",864,2,efficientnetb0/block2b_se_expand/kernel:0 || efficientnetb0/block3a_se_expand/kernel:0
block2b_se_expand/bias:0,"(144,)",144,18,efficientnetb0/block2b_bn/beta:0 || efficientnetb0/block2b_bn/gamma:0 || efficientnetb0/block2b_bn/moving_mean:0 || efficientnetb0/block2b_bn/moving_variance:0 || efficientnetb0/block2b_expand_bn/beta:0 || efficientnetb0/block2b_expand_bn/gamma:0 || efficientnetb0/block2b_expand_bn/moving_mean:0 || efficientnetb0/block2b_expand_bn/moving_variance:0 || efficientnetb0/block2b_se_expand/bias:0 || efficientnetb0/block3a_bn/beta:0 || efficientnetb0/block3a_bn/gamma:0 || efficientnetb0/block3a_bn/moving_mean:0 || efficientnetb0/block3a_bn/moving_variance:0 || efficientnetb0/block3a_expand_bn/beta:0 || efficientnetb0/block3a_expand_bn/gamma:0 || efficientnetb0/block3a_expand_bn/moving_mean:0 || efficientnetb0/block3a_expand_bn/moving_variance:0 || efficientnetb0/block3a_se_expand/bias:0
block2b_project_conv/kernel:0,"(1, 1, 144, 24)",3456,1,efficientnetb0/block2b_project_conv/kernel:0
block2b_project_bn/gamma:0,"(24,)",24,8,efficientnetb0/block2a_project_bn/beta:0 || efficientnetb0/block2a_project_bn/gamma:0 || efficientnetb0/block2a_project_bn/moving_mean:0 || efficientnetb0/block2a_project_bn/moving_variance:0 || efficientnetb0/block2b_project_bn/beta:0 || efficientnetb0/block2b_project_bn/gamma:0 || efficientnetb0/block2b_project_bn/moving_mean:0 || efficientnetb0/block2b_project_bn/moving_variance:0
