level,group,object_type
0,classifier_batchnorm,Group
0,classifier_dense,Group
0,classifier_dropout,Group
0,efficientnetb0,Group
0,global_average_pooling,Group
0,input,Group
0,predictions,Group
0,top_level_model_weights,Group
1,classifier_batchnorm/classifier_batchnorm,Group
1,classifier_dense/classifier_dense,Group
1,efficientnetb0/block1a_bn,Group
1,efficientnetb0/block1a_dwconv,Group
1,efficientnetb0/block1a_project_bn,Group
1,efficientnetb0/block1a_project_conv,Group
1,efficientnetb0/block1a_se_expand,Group
1,efficientnetb0/block1a_se_reduce,Group
1,efficientnetb0/block2a_bn,Group
1,efficientnetb0/block2a_dwconv,Group
1,efficientnetb0/block2a_expand_bn,Group
1,efficientnetb0/block2a_expand_conv,Group
1,efficientnetb0/block2a_project_bn,Group
1,efficientnetb0/block2a_project_conv,Group
1,efficientnetb0/block2a_se_expand,Group
1,efficientnetb0/block2a_se_reduce,Group
1,efficientnetb0/block2b_bn,Group
1,efficientnetb0/block2b_dwconv,Group
1,efficientnetb0/block2b_expand_bn,Group
1,efficientnetb0/block2b_expand_conv,Group
1,efficientnetb0/block2b_project_bn,Group
1,efficientnetb0/block2b_project_conv,Group
1,efficientnetb0/block2b_se_expand,Group
1,efficientnetb0/block2b_se_reduce,Group
1,efficientnetb0/block3a_bn,Group
1,efficientnetb0/block3a_dwconv,Group
1,efficientnetb0/block3a_expand_bn,Group
1,efficientnetb0/block3a_expand_conv,Group
1,efficientnetb0/block3a_project_bn,Group
1,efficientnetb0/block3a_project_conv,Group
1,efficientnetb0/block3a_se_expand,Group
1,efficientnetb0/block3a_se_reduce,Group
1,efficientnetb0/block3b_bn,Group
1,efficientnetb0/block3b_dwconv,Group
1,efficientnetb0/block3b_expand_bn,Group
1,efficientnetb0/block3b_expand_conv,Group
1,efficientnetb0/block3b_project_bn,Group
1,efficientnetb0/block3b_project_conv,Group
1,efficientnetb0/block3b_se_expand,Group
1,efficientnetb0/block3b_se_reduce,Group
1,efficientnetb0/block4a_bn,Group
1,efficientnetb0/block4a_dwconv,Group
1,efficientnetb0/block4a_expand_bn,Group
1,efficientnetb0/block4a_expand_conv,Group
1,efficientnetb0/block4a_project_bn,Group
1,efficientnetb0/block4a_project_conv,Group
1,efficientnetb0/block4a_se_expand,Group
1,efficientnetb0/block4a_se_reduce,Group
1,efficientnetb0/block4b_bn,Group
1,efficientnetb0/block4b_dwconv,Group
1,efficientnetb0/block4b_expand_bn,Group
1,efficientnetb0/block4b_expand_conv,Group
1,efficientnetb0/block4b_project_bn,Group
1,efficientnetb0/block4b_project_conv,Group
1,efficientnetb0/block4b_se_expand,Group
1,efficientnetb0/block4b_se_reduce,Group
1,efficientnetb0/block4c_bn,Group
1,efficientnetb0/block4c_dwconv,Group
1,efficientnetb0/block4c_expand_bn,Group
1,efficientnetb0/block4c_expand_conv,Group
1,efficientnetb0/block4c_project_bn,Group
1,efficientnetb0/block4c_project_conv,Group
1,efficientnetb0/block4c_se_expand,Group
