full_name,parent,dataset,shape,dtype,ndim,num_parameters
classifier_batchnorm/classifier_batchnorm/beta:0,classifier_batchnorm/classifier_batchnorm,beta:0,"(1280,)",float32,1,1280
classifier_batchnorm/classifier_batchnorm/gamma:0,classifier_batchnorm/classifier_batchnorm,gamma:0,"(1280,)",float32,1,1280
classifier_batchnorm/classifier_batchnorm/moving_mean:0,classifier_batchnorm/classifier_batchnorm,moving_mean:0,"(1280,)",float32,1,1280
classifier_batchnorm/classifier_batchnorm/moving_variance:0,classifier_batchnorm/classifier_batchnorm,moving_variance:0,"(1280,)",float32,1,1280
classifier_dense/classifier_dense/bias:0,classifier_dense/classifier_dense,bias:0,"(256,)",float32,1,256
classifier_dense/classifier_dense/kernel:0,classifier_dense/classifier_dense,kernel:0,"(1280, 256)",float32,2,327680
efficientnetb0/block1a_bn/beta:0,efficientnetb0/block1a_bn,beta:0,"(32,)",float32,1,32
efficientnetb0/block1a_bn/gamma:0,efficientnetb0/block1a_bn,gamma:0,"(32,)",float32,1,32
efficientnetb0/block1a_bn/moving_mean:0,efficientnetb0/block1a_bn,moving_mean:0,"(32,)",float32,1,32
efficientnetb0/block1a_bn/moving_variance:0,efficientnetb0/block1a_bn,moving_variance:0,"(32,)",float32,1,32
efficientnetb0/block1a_dwconv/depthwise_kernel:0,efficientnetb0/block1a_dwconv,depthwise_kernel:0,"(3, 3, 32, 1)",float32,4,288
efficientnetb0/block1a_project_bn/beta:0,efficientnetb0/block1a_project_bn,beta:0,"(16,)",float32,1,16
efficientnetb0/block1a_project_bn/gamma:0,efficientnetb0/block1a_project_bn,gamma:0,"(16,)",float32,1,16
efficientnetb0/block1a_project_bn/moving_mean:0,efficientnetb0/block1a_project_bn,moving_mean:0,"(16,)",float32,1,16
efficientnetb0/block1a_project_bn/moving_variance:0,efficientnetb0/block1a_project_bn,moving_variance:0,"(16,)",float32,1,16
efficientnetb0/block1a_project_conv/kernel:0,efficientnetb0/block1a_project_conv,kernel:0,"(1, 1, 32, 16)",float32,4,512
efficientnetb0/block1a_se_expand/bias:0,efficientnetb0/block1a_se_expand,bias:0,"(32,)",float32,1,32
efficientnetb0/block1a_se_expand/kernel:0,efficientnetb0/block1a_se_expand,kernel:0,"(1, 1, 8, 32)",float32,4,256
efficientnetb0/block1a_se_reduce/bias:0,efficientnetb0/block1a_se_reduce,bias:0,"(8,)",float32,1,8
efficientnetb0/block1a_se_reduce/kernel:0,efficientnetb0/block1a_se_reduce,kernel:0,"(1, 1, 32, 8)",float32,4,256
efficientnetb0/block2a_bn/beta:0,efficientnetb0/block2a_bn,beta:0,"(96,)",float32,1,96
efficientnetb0/block2a_bn/gamma:0,efficientnetb0/block2a_bn,gamma:0,"(96,)",float32,1,96
efficientnetb0/block2a_bn/moving_mean:0,efficientnetb0/block2a_bn,moving_mean:0,"(96,)",float32,1,96
