h5_name,layer_name,shape,ndim,num_values,dtype
classifier_batchnorm/classifier_batchnorm/beta:0,classifier_batchnorm,"(1280,)",1,1280,float32
classifier_batchnorm/classifier_batchnorm/gamma:0,classifier_batchnorm,"(1280,)",1,1280,float32
classifier_batchnorm/classifier_batchnorm/moving_mean:0,classifier_batchnorm,"(1280,)",1,1280,float32
classifier_batchnorm/classifier_batchnorm/moving_variance:0,classifier_batchnorm,"(1280,)",1,1280,float32
classifier_dense/classifier_dense/bias:0,classifier_dense,"(256,)",1,256,float32
classifier_dense/classifier_dense/kernel:0,classifier_dense,"(1280, 256)",2,327680,float32
efficientnetb0/block1a_bn/beta:0,block1a_bn,"(32,)",1,32,float32
efficientnetb0/block1a_bn/gamma:0,block1a_bn,"(32,)",1,32,float32
efficientnetb0/block1a_bn/moving_mean:0,block1a_bn,"(32,)",1,32,float32
efficientnetb0/block1a_bn/moving_variance:0,block1a_bn,"(32,)",1,32,float32
efficientnetb0/block1a_dwconv/depthwise_kernel:0,block1a_dwconv,"(3, 3, 32, 1)",4,288,float32
efficientnetb0/block1a_project_bn/beta:0,block1a_project_bn,"(16,)",1,16,float32
efficientnetb0/block1a_project_bn/gamma:0,block1a_project_bn,"(16,)",1,16,float32
efficientnetb0/block1a_project_bn/moving_mean:0,block1a_project_bn,"(16,)",1,16,float32
efficientnetb0/block1a_project_bn/moving_variance:0,block1a_project_bn,"(16,)",1,16,float32
efficientnetb0/block1a_project_conv/kernel:0,block1a_project_conv,"(1, 1, 32, 16)",4,512,float32
efficientnetb0/block1a_se_expand/bias:0,block1a_se_expand,"(32,)",1,32,float32
efficientnetb0/block1a_se_expand/kernel:0,block1a_se_expand,"(1, 1, 8, 32)",4,256,float32
efficientnetb0/block1a_se_reduce/bias:0,block1a_se_reduce,"(8,)",1,8,float32
efficientnetb0/block1a_se_reduce/kernel:0,block1a_se_reduce,"(1, 1, 32, 8)",4,256,float32
efficientnetb0/block2a_bn/beta:0,block2a_bn,"(96,)",1,96,float32
efficientnetb0/block2a_bn/gamma:0,block2a_bn,"(96,)",1,96,float32
efficientnetb0/block2a_bn/moving_mean:0,block2a_bn,"(96,)",1,96,float32
efficientnetb0/block2a_bn/moving_variance:0,block2a_bn,"(96,)",1,96,float32
efficientnetb0/block2a_dwconv/depthwise_kernel:0,block2a_dwconv,"(3, 3, 96, 1)",4,864,float32
efficientnetb0/block2a_expand_bn/beta:0,block2a_expand_bn,"(96,)",1,96,float32
efficientnetb0/block2a_expand_bn/gamma:0,block2a_expand_bn,"(96,)",1,96,float32
efficientnetb0/block2a_expand_bn/moving_mean:0,block2a_expand_bn,"(96,)",1,96,float32
efficientnetb0/block2a_expand_bn/moving_variance:0,block2a_expand_bn,"(96,)",1,96,float32
efficientnetb0/block2a_expand_conv/kernel:0,block2a_expand_conv,"(1, 1, 16, 96)",4,1536,float32
efficientnetb0/block2a_project_bn/beta:0,block2a_project_bn,"(24,)",1,24,float32
efficientnetb0/block2a_project_bn/gamma:0,block2a_project_bn,"(24,)",1,24,float32
efficientnetb0/block2a_project_bn/moving_mean:0,block2a_project_bn,"(24,)",1,24,float32
efficientnetb0/block2a_project_bn/moving_variance:0,block2a_project_bn,"(24,)",1,24,float32
efficientnetb0/block2a_project_conv/kernel:0,block2a_project_conv,"(1, 1, 96, 24)",4,2304,float32
efficientnetb0/block2a_se_expand/bias:0,block2a_se_expand,"(96,)",1,96,float32
efficientnetb0/block2a_se_expand/kernel:0,block2a_se_expand,"(1, 1, 4, 96)",4,384,float32
efficientnetb0/block2a_se_reduce/bias:0,block2a_se_reduce,"(4,)",1,4,float32
efficientnetb0/block2a_se_reduce/kernel:0,block2a_se_reduce,"(1, 1, 96, 4)",4,384,float32
