variable_name,shape,ndim,num_values,layer_guess
normalization/mean:0,"(3,)",1,3,normalization
normalization/variance:0,"(3,)",1,3,normalization
normalization/count:0,(),0,1,normalization
stem_conv/kernel:0,"(3, 3, 3, 32)",4,864,stem_conv
stem_bn/gamma:0,"(32,)",1,32,stem_bn
stem_bn/beta:0,"(32,)",1,32,stem_bn
stem_bn/moving_mean:0,"(32,)",1,32,stem_bn
stem_bn/moving_variance:0,"(32,)",1,32,stem_bn
block1a_dwconv/depthwise_kernel:0,"(3, 3, 32, 1)",4,288,block1a_dwconv
block1a_bn/gamma:0,"(32,)",1,32,block1a_bn
block1a_bn/beta:0,"(32,)",1,32,block1a_bn
block1a_bn/moving_mean:0,"(32,)",1,32,block1a_bn
block1a_bn/moving_variance:0,"(32,)",1,32,block1a_bn
block1a_se_reduce/kernel:0,"(1, 1, 32, 8)",4,256,block1a_se_reduce
block1a_se_reduce/bias:0,"(8,)",1,8,block1a_se_reduce
block1a_se_expand/kernel:0,"(1, 1, 8, 32)",4,256,block1a_se_expand
block1a_se_expand/bias:0,"(32,)",1,32,block1a_se_expand
block1a_project_conv/kernel:0,"(1, 1, 32, 16)",4,512,block1a_project_conv
block1a_project_bn/gamma:0,"(16,)",1,16,block1a_project_bn
block1a_project_bn/beta:0,"(16,)",1,16,block1a_project_bn
block1a_project_bn/moving_mean:0,"(16,)",1,16,block1a_project_bn
block1a_project_bn/moving_variance:0,"(16,)",1,16,block1a_project_bn
block2a_expand_conv/kernel:0,"(1, 1, 16, 96)",4,1536,block2a_expand_conv
block2a_expand_bn/gamma:0,"(96,)",1,96,block2a_expand_bn
block2a_expand_bn/beta:0,"(96,)",1,96,block2a_expand_bn
block2a_expand_bn/moving_mean:0,"(96,)",1,96,block2a_expand_bn
block2a_expand_bn/moving_variance:0,"(96,)",1,96,block2a_expand_bn
block2a_dwconv/depthwise_kernel:0,"(3, 3, 96, 1)",4,864,block2a_dwconv
block2a_bn/gamma:0,"(96,)",1,96,block2a_bn
block2a_bn/beta:0,"(96,)",1,96,block2a_bn
block2a_bn/moving_mean:0,"(96,)",1,96,block2a_bn
block2a_bn/moving_variance:0,"(96,)",1,96,block2a_bn
block2a_se_reduce/kernel:0,"(1, 1, 96, 4)",4,384,block2a_se_reduce
block2a_se_reduce/bias:0,"(4,)",1,4,block2a_se_reduce
block2a_se_expand/kernel:0,"(1, 1, 4, 96)",4,384,block2a_se_expand
block2a_se_expand/bias:0,"(96,)",1,96,block2a_se_expand
block2a_project_conv/kernel:0,"(1, 1, 96, 24)",4,2304,block2a_project_conv
block2a_project_bn/gamma:0,"(24,)",1,24,block2a_project_bn
block2a_project_bn/beta:0,"(24,)",1,24,block2a_project_bn
block2a_project_bn/moving_mean:0,"(24,)",1,24,block2a_project_bn
block2a_project_bn/moving_variance:0,"(24,)",1,24,block2a_project_bn
block2b_expand_conv/kernel:0,"(1, 1, 24, 144)",4,3456,block2b_expand_conv
