full_name,parent,shape,dtype,num_values
classifier_batchnorm/classifier_batchnorm/beta:0,classifier_batchnorm/classifier_batchnorm,"(1280,)",float32,1280
classifier_batchnorm/classifier_batchnorm/gamma:0,classifier_batchnorm/classifier_batchnorm,"(1280,)",float32,1280
classifier_batchnorm/classifier_batchnorm/moving_mean:0,classifier_batchnorm/classifier_batchnorm,"(1280,)",float32,1280
classifier_batchnorm/classifier_batchnorm/moving_variance:0,classifier_batchnorm/classifier_batchnorm,"(1280,)",float32,1280
classifier_dense/classifier_dense/bias:0,classifier_dense/classifier_dense,"(256,)",float32,256
classifier_dense/classifier_dense/kernel:0,classifier_dense/classifier_dense,"(1280, 256)",float32,327680
efficientnetb0/block1a_bn/beta:0,efficientnetb0/block1a_bn,"(32,)",float32,32
efficientnetb0/block1a_bn/gamma:0,efficientnetb0/block1a_bn,"(32,)",float32,32
efficientnetb0/block1a_bn/moving_mean:0,efficientnetb0/block1a_bn,"(32,)",float32,32
efficientnetb0/block1a_bn/moving_variance:0,efficientnetb0/block1a_bn,"(32,)",float32,32
efficientnetb0/block1a_dwconv/depthwise_kernel:0,efficientnetb0/block1a_dwconv,"(3, 3, 32, 1)",float32,288
efficientnetb0/block1a_project_bn/beta:0,efficientnetb0/block1a_project_bn,"(16,)",float32,16
efficientnetb0/block1a_project_bn/gamma:0,efficientnetb0/block1a_project_bn,"(16,)",float32,16
efficientnetb0/block1a_project_bn/moving_mean:0,efficientnetb0/block1a_project_bn,"(16,)",float32,16
efficientnetb0/block1a_project_bn/moving_variance:0,efficientnetb0/block1a_project_bn,"(16,)",float32,16
efficientnetb0/block1a_project_conv/kernel:0,efficientnetb0/block1a_project_conv,"(1, 1, 32, 16)",float32,512
efficientnetb0/block1a_se_expand/bias:0,efficientnetb0/block1a_se_expand,"(32,)",float32,32
efficientnetb0/block1a_se_expand/kernel:0,efficientnetb0/block1a_se_expand,"(1, 1, 8, 32)",float32,256
efficientnetb0/block1a_se_reduce/bias:0,efficientnetb0/block1a_se_reduce,"(8,)",float32,8
efficientnetb0/block1a_se_reduce/kernel:0,efficientnetb0/block1a_se_reduce,"(1, 1, 32, 8)",float32,256
efficientnetb0/block2a_bn/beta:0,efficientnetb0/block2a_bn,"(96,)",float32,96
efficientnetb0/block2a_bn/gamma:0,efficientnetb0/block2a_bn,"(96,)",float32,96
efficientnetb0/block2a_bn/moving_mean:0,efficientnetb0/block2a_bn,"(96,)",float32,96
efficientnetb0/block2a_bn/moving_variance:0,efficientnetb0/block2a_bn,"(96,)",float32,96
efficientnetb0/block2a_dwconv/depthwise_kernel:0,efficientnetb0/block2a_dwconv,"(3, 3, 96, 1)",float32,864
efficientnetb0/block2a_expand_bn/beta:0,efficientnetb0/block2a_expand_bn,"(96,)",float32,96
efficientnetb0/block2a_expand_bn/gamma:0,efficientnetb0/block2a_expand_bn,"(96,)",float32,96
efficientnetb0/block2a_expand_bn/moving_mean:0,efficientnetb0/block2a_expand_bn,"(96,)",float32,96
efficientnetb0/block2a_expand_bn/moving_variance:0,efficientnetb0/block2a_expand_bn,"(96,)",float32,96
efficientnetb0/block2a_expand_conv/kernel:0,efficientnetb0/block2a_expand_conv,"(1, 1, 16, 96)",float32,1536
efficientnetb0/block2a_project_bn/beta:0,efficientnetb0/block2a_project_bn,"(24,)",float32,24
efficientnetb0/block2a_project_bn/gamma:0,efficientnetb0/block2a_project_bn,"(24,)",float32,24
efficientnetb0/block2a_project_bn/moving_mean:0,efficientnetb0/block2a_project_bn,"(24,)",float32,24
efficientnetb0/block2a_project_bn/moving_variance:0,efficientnetb0/block2a_project_bn,"(24,)",float32,24
efficientnetb0/block2a_project_conv/kernel:0,efficientnetb0/block2a_project_conv,"(1, 1, 96, 24)",float32,2304
efficientnetb0/block2a_se_expand/bias:0,efficientnetb0/block2a_se_expand,"(96,)",float32,96
efficientnetb0/block2a_se_expand/kernel:0,efficientnetb0/block2a_se_expand,"(1, 1, 4, 96)",float32,384
efficientnetb0/block2a_se_reduce/bias:0,efficientnetb0/block2a_se_reduce,"(4,)",float32,4
efficientnetb0/block2a_se_reduce/kernel:0,efficientnetb0/block2a_se_reduce,"(1, 1, 96, 4)",float32,384
efficientnetb0/block2b_bn/beta:0,efficientnetb0/block2b_bn,"(144,)",float32,144
efficientnetb0/block2b_bn/gamma:0,efficientnetb0/block2b_bn,"(144,)",float32,144
efficientnetb0/block2b_bn/moving_mean:0,efficientnetb0/block2b_bn,"(144,)",float32,144
efficientnetb0/block2b_bn/moving_variance:0,efficientnetb0/block2b_bn,"(144,)",float32,144
efficientnetb0/block2b_dwconv/depthwise_kernel:0,efficientnetb0/block2b_dwconv,"(3, 3, 144, 1)",float32,1296
efficientnetb0/block2b_expand_bn/beta:0,efficientnetb0/block2b_expand_bn,"(144,)",float32,144
efficientnetb0/block2b_expand_bn/gamma:0,efficientnetb0/block2b_expand_bn,"(144,)",float32,144
efficientnetb0/block2b_expand_bn/moving_mean:0,efficientnetb0/block2b_expand_bn,"(144,)",float32,144
efficientnetb0/block2b_expand_bn/moving_variance:0,efficientnetb0/block2b_expand_bn,"(144,)",float32,144
efficientnetb0/block2b_expand_conv/kernel:0,efficientnetb0/block2b_expand_conv,"(1, 1, 24, 144)",float32,3456
efficientnetb0/block2b_project_bn/beta:0,efficientnetb0/block2b_project_bn,"(24,)",float32,24
efficientnetb0/block2b_project_bn/gamma:0,efficientnetb0/block2b_project_bn,"(24,)",float32,24
efficientnetb0/block2b_project_bn/moving_mean:0,efficientnetb0/block2b_project_bn,"(24,)",float32,24
efficientnetb0/block2b_project_bn/moving_variance:0,efficientnetb0/block2b_project_bn,"(24,)",float32,24
efficientnetb0/block2b_project_conv/kernel:0,efficientnetb0/block2b_project_conv,"(1, 1, 144, 24)",float32,3456
