epoch,loss,accuracy,lr
1,0.06829691678285599,0.9765999913215637,1e-05
2,0.05789216235280037,0.9775999784469604,1e-05
3,0.049377571791410446,0.9824000000953674,1e-05
4,0.056131862103939056,0.9789999723434448,1e-05
5,0.042897194623947144,0.9878000020980835,1e-05
6,0.04685245826840401,0.9847999811172485,1e-05
7,0.03961338847875595,0.9887999892234802,1e-05
8,0.04512083902955055,0.9860000014305115,1e-05
9,0.03958414867520332,0.9883999824523926,1e-05
10,0.04292607307434082,0.9850000143051147,1e-05
11,0.040945954620838165,0.9860000014305115,5e-06
12,0.03970014303922653,0.9869999885559082,5e-06
13,0.0418262742459774,0.9854000210762024,5e-06
14,0.03880001977086067,0.9864000082015991,2.5e-06
15,0.04011496901512146,0.9861999750137329,2.5e-06
