width,height,count,percentage
512,512,4881,81.35
369,369,363,6.05
216,369,354,5.9
256,256,32,0.53
187,369,21,0.35
225,225,20,0.33
202,369,19,0.32
210,369,12,0.2
236,236,11,0.18
442,442,10,0.17
201,251,5,0.08
554,554,5,0.08
455,500,5,0.08
341,395,4,0.07
200,223,4,0.07
212,237,4,0.07
210,240,4,0.07
213,237,3,0.05
289,354,2,0.03
441,427,2,0.03
278,306,2,0.03
273,326,2,0.03
262,308,2,0.03
472,546,2,0.03
257,307,2,0.03
236,269,2,0.03
291,340,2,0.03
474,474,2,0.03
480,480,2,0.03
485,510,2,0.03
252,303,2,0.03
491,624,2,0.03
239,248,2,0.03
239,224,2,0.03
238,212,2,0.03
290,342,2,0.03
300,412,2,0.03
295,394,2,0.03
315,341,2,0.03
366,395,2,0.03
374,370,2,0.03
351,398,2,0.03
343,367,2,0.03
341,377,2,0.03
341,372,2,0.03
338,345,2,0.03
330,355,2,0.03
323,342,2,0.03
318,354,2,0.03
315,315,2,0.03
300,345,2,0.03
314,358,2,0.03
402,396,2,0.03
313,393,2,0.03
312,401,2,0.03
411,396,2,0.03
306,306,2,0.03
305,337,2,0.03
369,398,2,0.03
367,395,2,0.03
416,395,2,0.03
304,410,2,0.03
286,356,2,0.03
507,605,2,0.03
212,238,2,0.03
224,216,2,0.03
722,690,2,0.03
217,232,2,0.03
216,216,2,0.03
215,234,2,0.03
733,781,2,0.03
214,235,2,0.03
214,216,2,0.03
213,236,2,0.03
211,239,2,0.03
226,214,2,0.03
209,241,2,0.03
208,243,2,0.03
206,249,2,0.03
205,251,2,0.03
204,249,2,0.03
201,207,2,0.03
200,252,2,0.03
200,235,2,0.03
200,210,2,0.03
224,219,2,0.03
219,234,2,0.03
645,439,2,0.03
234,216,2,0.03
530,526,2,0.03
233,218,2,0.03
232,261,2,0.03
591,650,2,0.03
630,423,2,0.03
528,581,2,0.03
228,221,2,0.03
503,369,1,0.02
1275,1427,1,0.02
1149,1019,1,0.02
1024,1024,1,0.02
528,528,1,0.02
374,456,1,0.02
940,900,1,0.02
502,502,1,0.02
1280,1280,1,0.02
400,400,1,0.02
504,488,1,0.02
500,500,1,0.02
513,522,1,0.02
900,741,1,0.02
652,600,1,0.02
497,320,1,0.02
825,993,1,0.02
456,501,1,0.02
534,674,1,0.02
540,568,1,0.02
552,527,1,0.02
420,264,1,0.02
440,278,1,0.02
470,432,1,0.02
507,340,1,0.02
721,903,1,0.02
469,470,1,0.02
717,717,1,0.02
685,681,1,0.02
450,446,1,0.02
507,362,1,0.02
174,230,1,0.02
369,395,1,0.02
226,223,1,0.02
236,220,1,0.02
236,216,1,0.02
233,243,1,0.02
233,228,1,0.02
233,210,1,0.02
232,216,1,0.02
230,274,1,0.02
230,241,1,0.02
230,235,1,0.02
229,280,1,0.02
229,223,1,0.02
226,212,1,0.02
236,223,1,0.02
224,223,1,0.02
221,228,1,0.02
217,248,1,0.02
215,220,1,0.02
209,225,1,0.02
206,245,1,0.02
202,223,1,0.02
202,202,1,0.02
201,244,1,0.02
201,210,1,0.02
200,236,1,0.02
236,221,1,0.02
236,226,1,0.02
360,378,1,0.02
264,336,1,0.02
352,322,1,0.02
329,314,1,0.02
314,195,1,0.02
306,365,1,0.02
300,359,1,0.02
300,258,1,0.02
298,354,1,0.02
290,339,1,0.02
180,218,1,0.02
278,280,1,0.02
272,331,1,0.02
262,244,1,0.02
236,232,1,0.02
257,320,1,0.02
257,248,1,0.02
255,236,1,0.02
254,325,1,0.02
253,239,1,0.02
251,273,1,0.02
250,270,1,0.02
237,248,1,0.02
236,294,1,0.02
236,280,1,0.02
236,240,1,0.02
1365,1365,1,0.02
