class,filename,mean_intensity,std_intensity,min_intensity,max_intensity,median_intensity,percent_nonzero
glioma,brisc2025_train_00839_gl_sa_t1.jpg,28.895664,37.58987,0.0,255.0,4.0,94.95964050292969
glioma,brisc2025_train_00695_gl_co_t1.jpg,36.179832,43.019455,0.0,255.0,11.0,74.97673034667969
glioma,brisc2025_test_00050_gl_ax_t1.jpg,32.56707,40.92183,0.0,255.0,4.0,71.1212158203125
glioma,brisc2025_train_01004_gl_sa_t1.jpg,47.0286,44.778027,0.0,255.0,44.0,96.70791625976562
glioma,brisc2025_train_00453_gl_co_t1.jpg,38.695133,42.402195,0.0,255.0,25.0,77.01072692871094
glioma,brisc2025_train_00089_gl_ax_t1.jpg,22.889118,31.953144,0.0,255.0,2.0,66.082763671875
glioma,brisc2025_train_00570_gl_co_t1.jpg,30.651775,36.07272,0.0,251.0,11.0,76.73683166503906
glioma,brisc2025_train_00732_gl_co_t1.jpg,39.10537,43.036686,0.0,255.0,31.0,77.06336975097656
glioma,brisc2025_train_00091_gl_ax_t1.jpg,24.531952,36.057587,0.0,255.0,3.0,68.32962036132812
glioma,brisc2025_train_00053_gl_ax_t1.jpg,29.264557,35.54775,0.0,252.0,3.0,66.92237854003906
glioma,brisc2025_test_00030_gl_ax_t1.jpg,26.179428,46.437916,0.0,255.0,3.0,82.51380920410156
glioma,brisc2025_train_00447_gl_co_t1.jpg,29.666393,37.96751,0.0,255.0,4.0,76.92794799804688
glioma,brisc2025_train_00226_gl_ax_t1.jpg,25.109905,32.496994,0.0,253.0,2.0,65.46363830566406
glioma,brisc2025_train_00376_gl_ax_t1.jpg,31.75069,44.265247,0.0,254.0,3.0,69.53849792480469
glioma,brisc2025_test_00077_gl_ax_t1.jpg,30.35181,39.01087,0.0,255.0,4.0,68.3258056640625
glioma,brisc2025_test_00248_gl_sa_t1.jpg,47.41001,43.657665,0.0,255.0,41.0,98.13613891601562
glioma,brisc2025_train_00396_gl_co_t1.jpg,37.84491,43.527714,0.0,255.0,5.0,77.43415832519531
glioma,brisc2025_train_00560_gl_co_t1.jpg,31.640827,45.021137,0.0,255.0,3.0,76.93595886230469
glioma,brisc2025_train_00176_gl_ax_t1.jpg,29.389858,41.70352,0.0,255.0,3.0,70.70808410644531
glioma,brisc2025_train_01050_gl_sa_t1.jpg,41.592766,36.766453,0.0,255.0,47.0,97.08290100097656
glioma,brisc2025_train_00241_gl_ax_t1.jpg,26.224716,37.204697,0.0,255.0,2.0,65.68984985351562
